ecole	sexe	age	adresse	fam_taille	parents	Mscol	Pscol	Mtravail	Ptravail	raisonChoix	adulReferent	tempsTrajet	tempsEtude	redoublement	soutienPedagoSup	soutienPedagoFamille	coursSup	activPara	creche	souhaitUniv	internet	relAmour	relationFamille	tempsLibre	sortiesAmis	alcoolSem	alcoolWeek	etatSante	absences	noteTrim1	noteTrim2	noteTrim3
GP	F	18	U	>3	separes	4	4	at_home	teacher	pref_cours	mere	2	2	0	oui	non	non	non	oui	oui	non	non	4	3	4	1	1	3	6	5	6	6
GP	F	17	U	>3	ensembles	1	1	at_home	other	pref_cours	pere	1	2	0	non	oui	non	non	non	oui	oui	non	5	3	3	1	1	3	4	5	5	6
GP	F	15	U	<=3	ensembles	1	1	at_home	other	autre	mere	1	2	3	oui	non	oui	non	oui	oui	oui	non	4	3	2	2	3	3	10	7	8	10
GP	F	15	U	>3	ensembles	4	2	health	services	proche_maison	mere	1	3	0	non	oui	oui	oui	oui	oui	oui	oui	3	2	2	1	1	5	2	15	14	15
GP	F	16	U	>3	ensembles	3	3	other	other	proche_maison	pere	1	2	0	non	oui	oui	non	oui	oui	non	non	4	3	2	1	2	5	4	6	10	10
GP	M	16	U	<=3	ensembles	4	3	services	other	reput_ecole	mere	1	2	0	non	oui	oui	oui	oui	oui	oui	non	5	4	2	1	2	5	10	15	15	15
GP	M	16	U	<=3	ensembles	2	2	other	other	proche_maison	mere	1	2	0	non	non	non	non	oui	oui	oui	non	4	4	4	1	1	3	0	12	12	11
GP	F	17	U	>3	separes	4	4	other	teacher	proche_maison	mere	2	2	0	oui	oui	non	non	oui	oui	non	non	4	1	4	1	1	1	6	6	5	6
GP	M	15	U	<=3	separes	3	2	services	other	proche_maison	mere	1	2	0	non	oui	oui	non	oui	oui	oui	non	4	2	2	1	1	1	0	16	18	19
GP	M	15	U	>3	ensembles	3	4	other	other	proche_maison	mere	1	2	0	non	oui	oui	oui	oui	oui	oui	non	5	5	1	1	1	5	0	14	15	15
GP	F	15	U	>3	ensembles	4	4	teacher	health	reput_ecole	mere	1	2	0	non	oui	oui	non	oui	oui	oui	non	3	3	3	1	2	2	0	10	8	9
GP	F	15	U	>3	ensembles	2	1	services	other	reput_ecole	pere	3	3	0	non	oui	non	oui	oui	oui	oui	non	5	2	2	1	1	4	4	10	12	12
GP	M	15	U	<=3	ensembles	4	4	health	services	pref_cours	pere	1	1	0	non	oui	oui	oui	oui	oui	oui	non	4	3	3	1	3	5	2	14	14	14
GP	M	15	U	>3	ensembles	4	3	teacher	other	pref_cours	mere	2	2	0	non	oui	oui	non	oui	oui	oui	non	5	4	3	1	2	3	2	10	10	11
GP	M	15	U	>3	separes	2	2	other	other	proche_maison	autre	1	3	0	non	oui	non	non	oui	oui	oui	oui	4	5	2	1	1	3	0	14	16	16
GP	F	16	U	>3	ensembles	4	4	health	other	proche_maison	mere	1	1	0	non	oui	non	non	oui	oui	oui	non	4	4	4	1	2	2	4	14	14	14
GP	F	16	U	>3	ensembles	4	4	services	services	reput_ecole	mere	1	3	0	non	oui	oui	oui	oui	oui	oui	non	3	2	3	1	2	2	6	13	14	14
GP	F	16	U	>3	ensembles	3	3	other	other	reput_ecole	mere	3	2	0	oui	oui	non	oui	oui	oui	non	non	5	3	2	1	1	4	4	8	10	10
GP	M	17	U	>3	ensembles	3	2	services	services	pref_cours	mere	1	1	3	non	oui	non	oui	oui	oui	oui	non	5	5	5	2	4	5	16	6	5	5
GP	M	16	U	<=3	ensembles	4	3	health	other	proche_maison	pere	1	1	0	non	non	oui	oui	oui	oui	oui	non	3	1	3	1	3	5	4	8	10	10
